publication,year,efficiency,culture_system,doi
Kudo and Horikoshi,1979,5.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,95.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,95.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,1.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,0.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,35.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,70.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,35.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,1.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,95.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,95.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,95.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,95.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,50.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,10.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,0.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,30.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,55.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,55.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,55.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,55.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,35.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,30.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,30.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,30.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,30.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
Kudo and Horikoshi,1979,30.0,"Batch (AMS medium, flask cultures)",10.1080/00021369.1979.10863868
