MA line,Substitutions,,,,,,Indels,,Ts/Tv,Sites (x10^6),Gen.,Base-sub rate (x10^-10)/site/gen,Indel-sub rate (x10^-10)/events/gen
,Transitions,,Transversions,,,,Insertions,Deletions,,,,,
,AT>GC,GC>AT,AT>TA,GC>TA,AT>CG,GC>CG,,,,,,,
Bs|1,1,2,4,1,0,0,1,1,0.60,4.29,5078,3.67,0.92
Bs|2,5,2,0,0,2,0,1,0,3.50,4.29,5059,4.15,0.46
Bs|3,1,2,1,0,1,1,1,1,1.00,4.29,5067,2.76,0.92
Bs|4,0,2,0,0,2,0,1,0,1.00,4.21,5100,1.86,0.47
Bs|6,3,0,0,0,0,0,2,3,-,4.29,5109,1.37,2.28
Bs|7,5,4,0,0,1,0,1,0,9.00,4.21,5100,4.66,0.47
Bs|8,3,1,0,1,1,1,1,3,1.33,4.20,5075,3.28,1.88
Bs|11,1,4,0,0,0,0,1,0,-,4.21,5067,2.34,0.47
Bs|13,1,1,0,0,0,0,0,1,-,4.21,5084,0.94,0.47
Bs|14,5,1,0,1,1,0,0,1,3.00,4.29,5100,3.66,0.46
Bs|15,3,3,0,0,3,0,1,0,2.00,4.29,5125,4.09,0.45
Bs|17,4,3,2,2,2,0,1,2,1.17,4.29,5067,5.98,1.38
Bs|19,1,2,2,0,1,0,0,2,1.00,4.29,5075,2.75,0.92
Bs|20,2,3,0,0,0,0,0,3,-,4.29,5042,2.31,1.39
Bs|22,2,5,0,0,0,0,0,4,-,4.21,5067,3.28,1.88
Bs|24,3,4,2,0,0,0,1,2,3.50,4.29,5100,4.11,1.37
Bs|26,3,1,0,1,3,0,1,3,1.00,4.21,5075,3.74,1.87
Bs|27,2,2,0,0,0,1,0,3,4.00,4.29,5084,2.29,1.38
Bs|28,1,1,1,0,0,0,0,3,2.00,4.29,5050,1.38,1.38
Bs|30,2,4,0,0,0,1,0,3,6.00,4.21,5042,3.30,1.41
Bs|31,5,2,0,0,0,0,1,2,-,4.29,5050,3.23,1.38
Bs|32,2,2,0,2,1,0,0,3,1.33,4.29,5100,3.20,1.37
Bs|35,4,1,0,0,0,0,1,3,-,4.29,5100,2.29,1.83
Bs|36,0,5,0,1,0,0,1,3,5.00,4.21,5092,2.80,1.87
Bs|37,1,3,0,0,0,1,0,2,4.00,4.29,5084,2.29,0.92
Bs|38,2,2,2,0,1,0,1,2,1.33,4.21,5059,3.29,1.41
Bs|39,4,5,1,1,0,0,0,4,4.50,4.29,5059,5.07,1.84
Bs|40,1,2,0,2,0,0,0,2,1.50,4.29,5050,2.31,0.92
Bs|41,2,1,0,1,0,0,1,1,3.00,4.21,5050,1.88,0.94
Bs|43,4,5,0,0,0,0,0,3,-,4.29,5109,4.11,1.37
Bs|44,13,5,3,0,0,0,0,1,6.00,4.21,5109,9.77,0.47
Bs|45,1,4,0,0,2,0,2,6,2.50,4.20,5100,3.26,3.73
Bs|46,2,3,0,2,1,0,0,3,1.67,4.29,5067,3.68,1.38
Bs|48,3,3,0,0,2,0,0,2,3.00,4.21,5050,3.77,0.94
Bs|49,3,1,0,1,0,0,1,1,4.00,4.21,5050,2.35,0.94
Bs|50,3,0,2,2,0,1,0,1,0.60,4.29,5042,3.70,0.46
Bs|51,3,1,2,1,0,0,1,2,1.33,4.21,5042,3.30,1.41
Bs|52,1,1,0,0,0,0,0,1,-,4.29,5109,0.91,0.46
Bs|53,4,4,1,1,0,0,0,0,4.00,4.21,5109,4.65,0.00
Bs|54,3,5,0,2,0,1,1,2,2.67,4.21,5092,5.13,1.40
Bs|55,7,4,0,0,2,1,2,2,3.67,4.21,5100,6.52,1.86
Bs|57,3,3,0,0,0,0,0,1,-,4.29,5092,2.75,0.46
Bs|60,3,3,0,1,0,0,0,2,6.00,4.19,5075,3.29,0.94
Bs|62,1,3,0,1,1,0,2,2,2.00,4.21,5075,2.81,1.87
Bs|63,3,2,3,1,0,0,2,1,1.25,4.21,5075,4.21,1.40
Bs|65,0,5,1,0,0,0,0,2,5.00,4.29,5067,2.76,0.92
Bs|68,5,3,1,0,0,0,0,2,8.00,4.29,5059,4.15,0.92
Bs|69,3,2,3,1,0,0,2,1,1.25,4.21,5075,4.21,1.40
Bs|71,0,5,1,0,0,0,0,2,5.00,4.29,5067,2.76,0.92
Bs|74,5,3,1,0,0,0,0,2,8.00,4.29,5059,4.15,0.92
